package,downloads,ratioVsTarget,latestStatus,latestVersion,latestDependencySections,latestDependencyRange,latestMatchedVersion,matchedVersionsCount,repositoryUrl,homepage,description
@solana/buffer-layout-utils,543204,0.887489625335747,current_runtime,0.3.0,dependencies,dependencies:^1.1.5,0.3.0,4,git+https://github.com/solana-labs/buffer-layout-utils.git,https://github.com/solana-labs/buffer-layout-utils#readme,Coming soon.
sqrl-redis-functions,3673,0.00600096721279335,current_runtime,0.6.10,dependencies,dependencies:^1.1.2,0.6.10,16,git+https://github.com/sqrl-lang/sqrl.git#main,https://sqrl-lang.github.io/sqrl,"SQRL (A Safe, Stateful Rules Language for Event Streams) - functions for storing state in redis"
rabinsig,39,0.00006371841037270369,current_runtime,4.2.1,dependencies,dependencies:^1.1.5,4.2.1,9,git+https://github.com/scrypt-sv/rabin.git,https://github.com/scrypt-sv/rabin#readme,A JavaScript Rabin Signature Library.
@defi-wonderland/keep3r-cli-utils,37,0.00006045079958435991,current_runtime,1.0.0-beta.0,dependencies,dependencies:1.1.5,1.0.0-beta.0,15,git+https://github.com/defi-wonderland/keep3r-cli-utils.git,https://github.com/defi-wonderland/keep3r-cli-utils#readme,Keep3r CLI Utils
@com.put/buffer-layout,17,0.00002777469170092212,current_runtime,1.0.0,dependencies,dependencies:^1.1.5,1.0.0,1,git+https://github.com/put-labs/buffer-layout.git,https://github.com/put-labs/buffer-layout,Translation between JavaScript values and Buffers
contractshark-ganache-utils,10,0.000016338053941718895,current_runtime,0.1.1,dependencies|optionalDependencies,dependencies:1.1.5 | optionalDependencies:1.1.5,0.1.1,1,git+https://github.com/trufflesuite/ganache-core.git,https://github.com/trufflesuite/ganache-core/tree/develop/src/packages/utils#readme,Utility functions for @contractshark packages
hdwallet-babyjub,8,0.000013070443153375116,current_runtime,0.0.2,dependencies,dependencies:^1.1.2,0.0.2,2,git+https://github.com/snjax/hdwallet-babyjub.git,https://github.com/snjax/hdwallet-babyjub#readme,HD wallet for BabyJubJub curve
@azerothcore/ac-nodejs-srp6,6,0.000009802832365031337,current_runtime,1.0.8,dependencies,dependencies:^1.1.5,1.0.8,4,git+https://github.com/azerothcore/azerothcore-srp6.git,https://github.com/azerothcore/azerothcore-srp6#readme,Generate verifier for AzerothCore SRP6 authentication.
iden3,5,0.000008169026970859447,current_runtime,0.0.17,dependencies,dependencies:^1.1.2,0.0.17,4,,,Javascript client library of the iden3 system.
trinitycore-srp6,3,0.000004901416182515668,current_runtime,1.1.1,dependencies,dependencies:^1.1.5,1.1.1,6,git+https://github.com/Miorey/trinitycore-srp6.git,https://github.com/Miorey/trinitycore-srp6#readme,Generate verifier for TrinityCore SRP6 authentication.
lightning-node,3,0.000004901416182515668,current_runtime,0.1.4,dependencies,dependencies:^1.1.5,0.1.4,4,git+https://github.com/arik-so/lightning-node.git,https://github.com/arik-so/lightning-node#readme,Library for interacting with the Lightning Network and spinning up a node.
@safecoin/web3.js,3,0.000004901416182515668,current_runtime,1.73.1,dependencies,dependencies:^1.1.5,1.73.1,4,git+https://github.com/Fair-Exchange/safecoin-web3.js.git,https://safecoin.org/,Safecoin Javascript API
@frakters/frkt-multiple-reward,2,0.000003267610788343779,current_runtime,1.0.28,dependencies,dependencies:^1.1.5,1.0.28,27,,,Client library for interacting with fusion pools solana program
gassefals-2,2,0.000003267610788343779,current_runtime,1.0.0,dependencies,dependencies:^1.1.5,1.0.0,1,git+https://github.com/Kafiirr/gassefals-2.git,https://github.com/Kafiirr/gassefals-2#readme,gassefals ecosystem
plumo-verifier,2,0.000003267610788343779,current_runtime,0.1.6,dependencies,dependencies:1.1.5,0.1.6,7,git+https://github.com/kobigurk/plumo-verifier.git,https://celo.org,Plumo verifier
@luchanso/snowflakeid,1,0.0000016338053941718895,current_runtime,1.0.7,dependencies,dependencies:1.1.5,1.0.7,7,git+ssh://git@github.com/Luchanso/snowflakeid.git,https://github.com/Luchanso/snowflakeid#readme,Generator for [snowflakes ids](https://en.wikipedia.org/wiki/Snowflake_ID) or watch: https://www.youtube.com/watch?v=aLYKd7h7vgY
chia-tools,1,0.0000016338053941718895,current_runtime,2.2.2,dependencies,dependencies:^1.1.5,2.2.2,1,git+https://github.com/Rigidity/chia-tools.git,https://github.com/Rigidity/chia-tools#readme,"A set of utilities for the Chia Network, written in TypeScript."
@bokoup/bpl-token-metadata,1,0.0000016338053941718895,current_runtime,0.1.0,dependencies,dependencies:^1.1.5,0.1.0,1,git+https://github.com/bokoup/bokoup-program-library.git,https://github.com/bokoup/bokoup-program-library,
@iden3/iden3,1,0.0000016338053941718895,current_runtime,0.0.27,dependencies,dependencies:^1.1.2,0.0.27,12,,,Javascript client library of the iden3 system.
quianam,1,0.0000016338053941718895,current_non_runtime,1.1.0,devDependencies,devDependencies:^1.1.5,1.1.0,5,git+https://github.com/AleneMcCullough/quianam.git,https://github.com/AleneMcCullough/quianam#readme,Marinade typescript-based SDK for CLI
web3x,350,0.0005718318879601613,historical,4.0.6,,,3.0.11,12,git+https://github.com/xf00f/web3x.git,https://github.com/xf00f/web3x,Typescript port of web3.js
@relaycorp/dnssec,56,0.00009149310207362581,historical,1.12.1,,,1.12.0,38,git+https://github.com/relaycorp/dnssec-js.git,https://docs.relaycorp.tech/dnssec-js/,Resolver-agnostic DNSSEC library
js-waku,31,0.000050647967219328573,historical,0.30.0,,,0.17.0,3,git+https://github.com/status-im/js-waku.git,https://github.com/status-im/js-waku#readme,TypeScript implementation of the Waku v2 protocol
web3x-es,26,0.000042478940248469126,historical,4.0.6,,,3.0.11,12,git+https://github.com/xf00f/web3x.git,https://github.com/xf00f/web3x,Typescript port of web3.js
wavelet-client,7,0.000011436637759203226,historical,1.1.1,,,2.0.0-rc.6,6,git+https://github.com/perlin-network/wavelet-client-js.git,https://github.com/perlin-network/wavelet-client-js#readme,[![crates.io](https://img.shields.io/npm/v/wavelet-client.svg)](https://www.npmjs.com/package/wavelet-client) [![Discord Chat](https://img.shields.io/discord/458332417909063682.svg)](https://discord.gg/dMYfDPM)
@jovian/fnum,5,0.000008169026970859447,historical,0.0.9,,,0.0.1,1,,,High-performance high-precision number for financial calculations.
@frakters/nft-lending-v2,5,0.000008169026970859447,historical,0.6.11,,,0.2.1,41,,,Client library for interacting with nft lenging solana program
@affidaty/t2-lib-core,2,0.000003267610788343779,historical,2.6.2,,,2.4.2,3,git+https://github.com/affidaty-blockchain/t2-lib-core.git,https://github.com/affidaty-blockchain/t2-lib-core#readme,Official Trinci 2 SDK JavaScript library core
