package,downloads,ratioVsTarget,latestStatus,latestVersion,latestDependencySections,latestDependencyRange,latestMatchedVersion,matchedVersionsCount,repositoryUrl,homepage,description
tiny-secp256k1,566549,0.9692799890505641,current_runtime,2.2.4,dependencies,dependencies:0.0.7,2.2.4,8,git+https://github.com/bitcoinjs/tiny-secp256k1.git,https://github.com/bitcoinjs/tiny-secp256k1#readme,A tiny secp256k1 JS
@bitcoin-js/tiny-secp256k1-asmjs,74487,0.12743603561988348,current_runtime,2.2.4,dependencies,dependencies:0.0.7,2.2.4,3,git+https://github.com/bitcoinjs/tiny-secp256k1.git,https://github.com/bitcoinjs/tiny-secp256k1#readme,A tiny secp256k1 JS
@bitcoin-computer/secp256k1,71,0.00012147030393238723,current_runtime,0.26.0-beta.0,dependencies,dependencies:0.0.7,0.26.0-beta.0,10,git+https://github.com/bitcoin-computer/monorepo.git,https://github.com/bitcoin-computer/monorepo/tree/main,A tiny secp256k1 JS
@caravan/psbt,23,0.00003934953507668882,current_runtime,2.1.0,dependencies,dependencies:^0.0.7,2.1.0,28,git+https://github.com/caravan-bitcoin/caravan.git,https://github.com/caravan-bitcoin/caravan#readme,typescript library for working with PSBTs
@safematrix/ord-utils,5,0.000008554246755801918,current_runtime,0.5.5,dependencies,dependencies:^0.0.7,0.5.5,117,git+https://github.com/ABMatrix/ord-utils.git,https://github.com/ABMatrix/ord-utils#readme,Ordinals Utils
@bitcoin-computer/tiny-secp256k1,1,0.0000017108493511603835,current_runtime,2.2.1,dependencies,dependencies:0.0.7,2.2.1,1,git+https://github.com/bitcoin-computer/tiny-secp256k1.git,https://github.com/bitcoin-computer/tiny-secp256k1#readme,A tiny secp256k1 JS
veil-secp256k1,1,0.0000017108493511603835,current_runtime,2.3.36,dependencies,dependencies:0.0.7,2.3.36,108,git+https://github.com/steel97/tiny-secp256k1.git,https://github.com/steel97/tiny-secp256k1#readme,A tiny secp256k1 JS fork
@astrox/ord-snap,1,0.0000017108493511603835,current_runtime,0.0.26,dependencies,dependencies:^0.0.7,0.0.26,23,https://github.com/AstroxNetwork,https://github.com/AstroxNetwork,Adapter for installing OrdSnap
wif,735926,1.2590585196020565,current_non_runtime,5.0.0,devDependencies,devDependencies:0.0.7,5.0.0,2,git+https://github.com/bitcoinjs/wif.git,https://github.com/bitcoinjs/wif,Bitcoin Wallet Import Format (WIF) decoding/encoding module
wifgrs,170,0.0002908443896972652,current_non_runtime,4.0.0,devDependencies,devDependencies:0.0.7,4.0.0,1,git+https://github.com/groestlcoin/wifgrs.git,https://github.com/groestlcoin/wifgrs,Groestlcoin Wallet Import Format (WIF) decoding/encoding module
bells-secp256k1,1134,0.001940103164215875,historical,0.1.1,,,0.0.4,2,git+https://github.com/bitcoinjs/tiny-secp256k1.git,https://github.com/bitcoinjs/tiny-secp256k1#readme,A tiny secp256k1 JS
